"Name","Type","GB"
"PAMELA_AGATHON1_FINAL_DRAFT_DEPR_W_FAC_P_ALLST-03142025.pdf","File","0.001"
"HubSpot-Creative-Brief-Templates.docx","File","0.001"
"pdf24_merged (1) (1).pdf","File","0.001"
"PAMELA_AGATHON.esx","File","0.001"
"photo_20231103T0717.jpg","File","0.001"
"Martinez_Supp_-_pre_separate (1).pdf","File","0.001"
"Martinez_COL_Estimate.pdf","File","0.001"
"CSAA COS-Certificate of Satisfaction-2023 (2).pdf","File","0.001"
"Martinez_Supp_-_pre_separate (2).pdf","File","0.001"
"Immel.pdf","File","0.001"
"photo_20231106T0617.jpg","File","0.001"
"Davis Invoice - mitigation.docx","File","0.001"
"Davis Invoice - mitigation (1).docx","File","0.001"
"Davis Invoice - deductible.docx","File","0.001"
"Detail__329B_Outside_Corner_Reinforcement__Fluted_Corner_TPO_Only__DWG.dwg","File","0.001"
"CSAA COS-Certificate of Satisfaction-2023.pdf","File","0.001"
"How to request an inspection in Mygov 5 2023_.pdf","File","0.001"
"photo_20231102T0717.jpg","File","0.001"
"Evans_final_draft.pdf","File","0.001"
"George Peet- WORK AUTHORIZATION .pdf","File","0.001"
"GetJobScheduler - Hostetler.pdf","File","0.001"
"GetJobScheduler - Hostetler","File","0.001"
"George Peet- ATR  (1).pdf","File","0.001"
"FILE_1404.pdf","File","0.001"
"MR9L100_Cambridge_Brochure_US.pdf","File","0.001"
"Evidence of Coverage, WOS(6).pdf","File","0.001"
"PINEAPPLE ROOFING VENDOR PACKET.eml","File","0.001"
"Estimates Template.docx","File","0.001"
"EagleView Claims Ready Report - 1041 COUNTY ROAD 4510, MOUNT PLEASANT, TX, 75455-8513.pdf","File","0.001"
"EagleView Claims Ready Report - 2727 GEORGE OWENS RD, PONDER, TX, 76259-5514.pdf","File","0.001"
"Linda Hunter Job Schedule.pdf","File","0.001"
"Mobile Inspector Job Aid (1).pdf","File","0.001"
"EagleView Claims Ready Report - 6111 KINGSWOOD DR, ARLINGTON, TX, 76001-5451.pdf","File","0.001"
"estimate.template copy-gc template.pdf","File","0.001"
"Estimates Template (1).docx","File","0.001"
"Mobile Inspector Job Aid.pdf","File","0.001"
"GetJobSchedulerTemplate (1).pdf","File","0.001"
"NEAL Estimate.pdf","File","0.001"
"FINAL_DRAFT_WITH_WITHOUT_REMOVAL_DEPRECIATION_REPORT_20250308_1.PDF","File","0.001"
"PINEAPPLE VENDOR PACKET 2023.pdf","File","0.001"
"Junior ID Pineapple Contractors-protected.pdf","File","0.001"
"PINEAPPLECONTRACTORS COI LEWISVILLE 2024 (2).pdf","File","0.001"
"NEW - SLA Quick Reference Sheet 6.21.23 rev (1).pdf","File","0.001"
"NEW - SLA Quick Reference Sheet 6.21.23 rev (2).pdf","File","0.001"
"NEETASH SHARMA 3RD PARTY FORM - signed.pdf","File","0.001"
"Pineapple-Roofing-Assessment-branded.pdf","File","0.001"
"PINEAPPLE VENDOR PACKET 2023 (3).pdf","File","0.001"
"PINEAPPLE VENDOR PACKET 2023 (1) (1) (1) (1).pdf","File","0.001"
"J.Boultinghouse Resume 8.19 5.pages","File","0.001"
"LCG Brochure Warranty.pdf","File","0.001"
"ITEL Report - 07_01_2024 11_34 AM - 1580357.pdf","File","0.001"
"PINEAPPLE VENDOR PACKET 2023 (1) (1) (1).pdf","File","0.001"
"Jenney Cline (2).jpg","File","0.001"
"Junior ID Pineapple Contractors.pdf","File","0.001"
"PINEAPPLE VENDOR PACKET 2023 (1).pdf","File","0.001"
"PINEAPPLE VENDOR PACKET 2023 (2).pdf","File","0.001"
"down-net_http20250610-132-4ymrnr.jpg","File","0.001"
"down-net_http20250610-141-7q6nsn.jpg","File","0.001"
"GreatX (audio-extractor.net).mp3","File","0.001"
"down-net_http20250424-95-riu3hy.jpg","File","0.001"
"Pineapple GAF Discovery Village TPO Quote 6-20-23 ESTIMATE (1).pdf","File","0.001"
"DropboxInstaller (2).exe","File","0.001"
"Pineapple GAF Discovery Village TPO Quote 6-20-23 ESTIMATE.pdf","File","0.001"
"down-net_http20250610-69-10g1jr.jpg","File","0.001"
"DropboxInstaller (1).exe","File","0.001"
"Pinapple Roofing _ Sales Performance Manager Plan.pdf","File","0.001"
"down-net_http20250403-74-8h7yof.jpg","File","0.001"
"down-net_http20250403-80-zxe95v.jpg","File","0.001"
"down-net_http20250403-147-qsby4h.jpg","File","0.001"
"down-net_http20250403-73-a0ug4.jpg","File","0.001"
"down-net_http20250403-82-oj7vv5.jpg","File","0.001"
"down-net_http20250403-94-4y8fe1.jpg","File","0.001"
"down-net_http20250424-114-sfc785.jpg","File","0.001"
"down-net_http20250403-82-t12o56.jpg","File","0.001"
"IRR Doc Signed-Griffin.pdf","File","0.001"
"GetJobSchedulerTemplate (3) (1).pdf","File","0.001"
"GetJobSchedulerTemplate (2).pdf","File","0.001"
"new doc 2025-03-04 09.33.00.pdf","File","0.001"
"DV submittals template.pages","File","0.001"
"Mikayla’s Local Travel Miles updated.pdf","File","0.001"
"LIONSBRIDGE SERVICE AGREEMENT & TIME FRAME CHART.pdf","File","0.001"
"Linda's Point Addition Final Plat.pdf","File","0.001"
"LITTLE ELM ISD WALKER STRIKE PINEAPPLE ROOFING BID.pdf","File","0.001"
"LIONSBRIDGE WARRANTY CERT","File","0.001"
"DV submittals template.docx","File","0.001"
"New Survey for 102 Barnett Blvd., H.V..pdf","File","0.001"
"New Survey for 102 Barnett Blvd., H.V. (2).pdf","File","0.001"
"DropboxInstaller.exe","File","0.001"
"Drushti Raviraja Shetty - photo.pdf","File","0.001"
"Drushti Raviraja Shetty.jpg","File","0.001"
"Pineapple_Roofing_M7_Migration_Build_2026-07-22.zip","File","0.001"
"DV ROOF PLAN A-121.pdf","File","0.001"
"New Survey for 102 Barnett Blvd., H.V. (1).pdf","File","0.001"
"ITEL Report - 04_16_2025 7_35 AM - 1753604.pdf","File","0.001"
"Why Partner With Us_Pineapple Roofing_Design_1 (1).JPG","File","0.001"
"Why Partner With Us_Pineapple Roofing_Design_1 (1).pdf","File","0.001"
"RICHARD DAVIS FINAL PAYMENT.pdf","File","0.001"
"Brock ISD New ES 100% CD SS - Vol 1 DWGS.pdf","File","0.001"
"058979470 Immel Estimate.pdf","File","0.001"
"RHONDA_SMITH_6500 (3).esx","File","0.001"
"RHONDA_SMITH_6500 (2).esx","File","0.001"
"RHONDA_SMITH_6500.esx","File","0.001"
"Why Partner With Us_Pineapple Roofing_Design_1.JPG","File","0.001"
"RICHARD DAVIS FINAL PAYMENT (1).pdf","File","0.001"
"w-9 for roofers.pdf","File","0.001"
"ATLASSION AI IN SERVICE MANAGMENT REPORT","File","0.001"
"RUCKER Conditional Waiver on Final Payment.pdf","File","0.001"
"10-03-2024 Roof Replacement Approval_ 6A-22B.pdf","File","0.001"
"104-97-531_GORDON_Unapproved Estimate.pdf","File","0.001"
"101384548.pdf","File","0.001"
"ValidateReviewReport_Liberty_582025_39063001.pdf","File","0.001"
"State Farm Class Form.pdf","File","0.001"
"059426436 (2).pdf","File","0.001"
"BI_GeneralContractor_RegistrationForm_10-16-2017.pdf","File","0.001"
"Update for contact (2) (1).pdf","File","0.001"
"RHONDA_SMITH_6500 (1).esx","File","0.001"
"056949729-1316866-EST JAMES MILLER.pdf","File","0.001"
"ChatGPT Installer (1).exe","File","0.001"
"Certificate.pdf","File","0.001"
"RESIDENTIAL_BRAND_GUIDELINES.pdf","File","0.001"
"Residential Minor Permit Application.pdf","File","0.001"
"ChatGPT Installer (5).exe","File","0.001"
"ChatGPT Installer.exe","File","0.001"
"ChatGPT Installer (4).exe","File","0.001"
"ChatGPT Installer (2).exe","File","0.001"
"ChatGPT Installer (3).exe","File","0.001"
"057017224-1317929-EST.pdf","File","0.001"
"Restorations - Front Page.pdf","File","0.001"
"Castle Hills HOA Arch. Mod. App - Roof Replacement Approval.pdf","File","0.001"
"wp-mcp-ultimate.zip","File","0.001"
"Carrier - Travelers Guidelines - In Progress.docx","File","0.001"
"wp-mcp-ultimate-main.zip","File","0.001"
"Certificate (1).pdf","File","0.001"
"Certificate (2).pdf","File","0.001"
"Restorations - Back Page Option 1.pdf","File","0.001"
"Restorations - Front Page.jpg","File","0.001"
"Restorations - Back Page Option 2.pdf","File","0.001"
"Allstate Estimate.pdf","File","0.001"
"20250616 - Carol Whitener - 702 Chestnut St (1).pdf","File","0.001"
"20250612 - Carol Whitener - 702 Chestnut St.pdf","File","0.001"
"20250616 - Carol Whitener - 702 Chestnut St.pdf","File","0.001"
"202550528 - Jacob Peters $26,502.69","File","0.001"
"20250616 - Kimberly Felix - 221 BRAZ ST.pdf","File","0.001"
"2025 ROOF INSURANCE BASIC CONTRACT PDF (1).pdf","File","0.001"
"2025 ROOF INSURANCE BASIC CONTRACT PDF (1) - signed.pdf","File","0.001"
"2025 ROOF INSURANCE BASIC CONTRACT PDF.pdf","File","0.001"
"20250602 - Kimberly Felix $2,770.75","File","0.001"
"20250508 - THOMAS JAMES - 1210 RUNAWAY BAY DR.pdf","File","0.001"
"202550528 - Jacob Peters - 4605 RIDGEHAVEN DR.pdf","File","0.001"
"Steffekestimate.pdf","File","0.001"
"tailscale-setup-1.98.4.exe","File","0.001"
"starter-strip-brochure---english.pdf","File","0.001"
"4559709919.pdf","File","0.001"
"497010276_1089802176538967_1904149192133509314_n.jpg","File","0.001"
"21896G - Merlin Street Properties Final Report - Geotech.pdf","File","0.001"
"2026-03-26T21-45-52_as_the_marketing_watermarked.mp4","File","0.001"
"2603.16021v2.pdf","File","0.001"
"63350947.PDF","File","0.001"
"Texas Department of Licensing and, WOS, PO Box 12157, Austin, TX, 78711.pdf","File","0.001"
"A-101_ OVERALL BUILDING FLOOR PLAN -LEVEL 1 Rev.1 markup.pdf","File","0.001"
"2-Feb 06 2025 07_35pm-gAU1.jpeg","File","0.001"
"SCHUDLT Estimate (2).docx","File","0.001"
"Town of Prosper, WOS, 250 W First St, Prosper, TX, 75078.pdf","File","0.001"
"Accuserve Solutions Inc. WOS 2000 S Colorado Blvd Ste 70 Denver CO 80222.pdf","File","0.001"
"20230808HunterParkPhase1IssueForPermit_compressed_compressed (1).pdf","File","0.001"
"All Plans Combined.pdf","File","0.001"
"All State Hail-Wind damage.pdf","File","0.001"
"1103---plastic-cap-roofing-nail-eg (1).pdf","File","0.001"
"SCHUDLT Estimate (1).docx","File","0.001"
"1103---plastic-cap-roofing-nail-eg.pdf","File","0.001"
"SF3881-03b.pdf","File","0.001"
"2025 ROOF INSURANCE BASIC CONTRACT Anneliese Eckess PDF 2.pdf","File","0.001"
"A-311_ ENLARGED PARTIAL BUILDING ELEVATIONS Rev.1 markup.pdf","File","0.001"
"A-303_ EXTERIOR BUILDING ELEVATIONS Rev.1 markup.pdf","File","0.001"
"2025 ROOF INSURANCE BASIC CONTRACT Eric Lopez.pdf","File","0.001"
"A-302_ EXTERIOR BUILDING ELEVATIONS Rev.1 markup.pdf","File","0.001"
"SIGNAGE AT FRONT, Magnolia Village-L101 (1).pdf","File","0.001"
"Shepherd Invoice 5825.pdf","File","0.001"
"SIGNAGE AT FRONT, Magnolia Village-L101 (2).pdf","File","0.001"
"A-312_ ENLARGED PARTIAL BUILDING ELEVATIONS Rev.1.1 markup.pdf","File","0.001"
"SIGNAGE AT FRONT, Magnolia Village-L101.pdf","File","0.001"
"CHEIF OF WAR","File","0.001"
"Contractor Network Standards.pdf","File","0.001"
"053306766-1346602-EST.pdf","File","0.001"
"COI for Pineapple Contractors.pdf","File","0.001"
"$67,385.80_Martinez Supp - pre separate.pdf","File","0.001"
"008540659-800_Master_Sergeant_Sandra_Finley_UnapprovedEstimate.pdf","File","0.001"
"Manus Installer.exe","File","0.001"
"City of Lucas COI 2024.pdf","File","0.001"
"City of Lewisville, WOS, 151 W Church St, Lewisville, TX, 75057(1).pdf","File","0.001"
"Contractor Registration The Colony_202601201320343115.pdf","File","0.001"
"Codex Installer.exe","File","0.001"
"RARC LewisvilleCastleHills - Basheer Hasanali Umberland Dr.pdf","File","0.001"
"COI PLANO 2024.pdf","File","0.001"
"Contractor Registration Application.pdf","File","0.001"
"Class 4 Roof Form Fillable.pdf","File","0.001"
"008540659-800_Master_Sergeant_Sandra_Finley_UnapprovedEstimate (1).pdf","File","0.001"
"RARC LewisvilleCastleHills - Richard Rooth Salisbury Ct.pdf","File","0.001"
"COI Frisco.pdf","File","0.001"
"ChromeSetup.exe","File","0.001"
"commercial estimate copy.template.xls","File","0.001"
"Code__GAF_Shingle_Products__ICC_ESR1475 (1).docx","File","0.001"
"Commercial Permit Application (PDF) (1).pdf","File","0.001"
"$13,978.40_Thomas_estimate.pdf","File","0.001"
"Corley K. Pinapple Contract","File","0.001"
"commercial estimate copy.template.numbers","File","0.001"
"055 MEPR-2.3 ENLARGED ROOF PLANS.pdf","File","0.001"
"053306766_-_Martinez_Revised_estimate.pdf","File","0.001"
"Commercial Permit Application (PDF).pdf","File","0.001"
"COI - Frisco 2024.pdf","File","0.001"
"$2,272.31_Robbie Miller EMS Estimate.pdf","File","0.001"
"$50,947.51_Watson_Repair_Comp_Bid","File","0.001"
"MASTER NOTEBOOK KINGDOM BUILDER.md","File","0"
"Master Project Context  Pineapple Roofing & AI Task List.md","File","0"
"Master Project Context_ Pineapple Roofing & AI Task List (1).md","File","0"
"OS_Dashboard_1.html","File","0"
"PC Last 7 days Meta ads Leads.csv","File","0"
"PaymentDetails (1).xls","File","0"
"THOMAS OREILLY CLAIM 056804083.pdf","File","0"
"Martinez_workmanship.pdf","File","0"
"⭐️SUPREME ECOM 2026 PRODUCTS⭐️.pdf","File","0"
"Thorburn Approved Estimate.pdf","File","0"
"PaymentDetails (2).xls","File","0"
"PaymentDetails.xls","File","0"
"PAOLO CANULLA COS signed.pdf","File","0"
"topshield-ts20-revised-eng.pdf","File","0"
"topshield-defender-ice-water-technical-data-sheet.pdf","File","0"
"Tongan Tauovala.jpeg","File","0"
"ZWQ2ODlmZWUuanBn.jpg","File","0"
"Master_Project_Context.md manus.pdf","File","0"
"OY8442703.pdf","File","0"
"Transmittal_Submittal - 075423-02 (Responded and Closed).pdf","File","0"
"traffic_report_2026-03-23.pdf","File","0"
"Trade Bid Requirements.pdf","File","0"
"pac-spec-07410.doc","File","0"
"Payment Invoice Basheer Hasanali Umberland Dr 2024.pdf","File","0"
"Payment Receipt_503231650002_PDF_.pdf","File","0"
"Time Card (1).xlsx","File","0"
"PaymentDetails (1) (1) (1).xls","File","0"
"THUMALAPENTA CLAIM ASSIGNMENT.pdf","File","0"
"Master Project Context_ Pineapple Roofing & AI Task List.md","File","0"
"Payment Invoice.pdf","File","0"
"Time Card.xlsx","File","0"
"Payment Invoice Joe VanAsten Torin St Lewisville.pdf","File","0"
"_Master Standard Operating Procedure.md","File","0"
"Time Card (2).xlsx","File","0"
"Payment Invoice Richard Rooth Salisbury Ct Lewisville.pdf","File","0"
"pc068roofinstal.pdf","File","0"
"TDI Roof Certification (1).pdf","File","0"
"PERMIT RECEIPT ROOTH SALISBURY CT LEWISVILLE.pdf","File","0"
"TDI IMPACT RESISTANT FORM.pdf","File","0"
"Permit.pdf","File","0"
"PERMIT RECEIPT VAN ASTEN TORIN ST LEWISVILLE.pdf","File","0"
"TDI Roof Certification.pdf","File","0"
"texas-notary-public-surety-bond.pdf","File","0"
"PERMIT RECEIPT FARMANALI ADARE MANOR LN FRISCO.pdf","File","0"
"TDLR PINEAPPLE CONTRACTORS.pdf","File","0"
"PERMIT RECEIPT OF PAYMENT LUCAS TX KENNY CORLEY CLOVE GLEN CT.pdf","File","0"
"PERMIT RECEIPT HASANALI UMBERLAND DR LEWSVILLE.pdf","File","0"
"📘 PM7 Playbook_ Automated AI Research System.md","File","0"
"storm-monitor.skill","File","0"
"RARC App Basheer Hasanali (3).pdf","File","0"
"VIJAY 4386 HARTEBEEST FINAL INVOICE.pdf","File","0"
"State Farm estimate - 43-81M7-84F.pdf","File","0"
"Strider COC.pdf","File","0"
"SYSTEM_1_RESEARCH_PROMPT.md","File","0"
"Tatafu Personal and roofing MD NOTEBOOK.md","File","0"
"Swfi Jr CEO.jpeg","File","0"
"Strider Invoice 2156.pdf","File","0"
"SUPP_DONOVAN_MINTER_FINAL_DRAFT_DEPR_W_FAC_P_ALLST.pdf","File","0"
"The $10M Google Playbook for Home Remodelers (Live SEO Audit).md","File","0"
"Thomas Invoice 42825 (1).pdf","File","0"
"PERMIT INVOICE EMAIL ROOTH SALISBURY CT LEWISVILLE.pdf","File","0"
"PERMIT INVOICE EMAIL VAN ASTEN TORIN ST LEWISVILLE.pdf","File","0"
"🏆 How To Rank #1 On Google Using Claude Cowork (Complete Beginner's Guide).docx.md","File","0"
"PERMIT INVOICE HASANALI UMBERLAND DR LEWISVILLE.pdf","File","0"
"PERMIT FRISCO FARMANALI ADARE MANOR LN.pdf","File","0"
"PC_Google_Ads_Blueprint.pdf","File","0"
"PC_Google_Ads_Blueprint (1).pdf","File","0"
"Thomas Invoice 42825.pdf","File","0"
"Permit Fort Worth Christos Papdelis.pdf","File","0"
"Permit Fort Worth Charles Greene.pdf","File","0"
"The Colony - Permit Application Residential Application 2022 revised 052022_202205241007583665.pdf","File","0"
"THE COLONY General Permit Application 9_25_202510070927499793.pdf","File","0"
"The 702 Partners LLC Promissory Note (Cheng) v3 RR 04.28.25.pdf","File","0"
"The 702 Partners LLC Profits Assignment (Cheng) v3 RR 04.28.25.pdf","File","0"
"PERMIT LUCAS TX KENNY CORLEY CLOVE GLEN CT.pdf","File","0"
"THE GLOBAL M7 RULES (The Grand Cheat Codes).md","File","0"
"Martinez COS.pdf","File","0"
"Martinez COS_copy.pdf","File","0"
"MARTIN PAK CONTRACT.pdf","File","0"
"Marketing ALEX HORMOZI.md","File","0"
"🏢 SEO Office SOP_ Your AI Agency In A Box md.md","File","0"
"OS_Dashboard.html","File","0"
"Your_Step-by-Step_Guide_to_Connecting_Facebook_&_Instagram_Leads_to_Google_Sheets.pdf","File","0"
"WIPMaterialWarrantyOptions.pdf","File","0"
"Your_Step-by-Step_Guide_to_Connecting_Facebook_&_Instagram_Leads_to_Google_Sheets (1).pdf","File","0"
"WIP-300HT-Sell-Sheet.pdf","File","0"
"WIP300-401SeriesTesting.pdf","File","0"
"NDA.pdf","File","0"
"Miller Robbie Repair Comp Estimate $3425.37.pdf","File","0"
"XactwareClickOnceHelper (1).exe","File","0"
"XactwareClickOnceHelper (2).exe","File","0"
"nahb-logo-color.png","File","0"
"Mikayla’s Local Travel Miles.pdf","File","0"
"MILLER - COS.pdf","File","0"
"Wind & Hail Inspections - Quick Reference.pdf","File","0"
"website-builder-prompt-pack.zip","File","0"
"week1_video_scripts (1).pdf","File","0"
"NEW AGE WEALTH - LOGISTICS - COWBOYS (2).pdf","File","0"
"warranty+certificate+final+rev+9.13.24.pdf","File","0"
"Warranty__GAF_Roofing_System_Limited_RESWT163L.docx","File","0"
"We have received your Inspection Request.eml","File","0"
"ZDZiMGZlMTAuanBn.jpg","File","0"
"Net Promoter Score Overview.pdf","File","0"
"YouTube Video Analysis & Playbook Update.md","File","0"
"week1_video_scripts.pdf","File","0"
"MICAReviewReport_27603244.pdf","File","0"
"Microsoft.Services.Store.winmd","File","0"
"Your Step-by-Step Guide to Connecting Facebook & Instagram Leads to Google Sheets.md","File","0"
"Your Guide to Social Media & AI Agent Integration.md","File","0"
"Your Business, Super-Powered by Google_ An AI Action Plan for Pineapple Contractors.md","File","0"
"Muthukumaran Vembuli photo.jpeg","File","0"
"moana_maui.jpg","File","0"
"Xerox Scan 2024-08-14 08.16.59 AM.pdf","File","0"
"Your Business, Super-Powered_ An AI Action Plan for Pineapple Contractors (1).md","File","0"
"MORTGAGE (1).pdf","File","0"
"MORTGAGE.pdf","File","0"
"Your Business, Super-Powered_ An AI Action Plan for Pineapple Contractors.md","File","0"
"Your Business, Super-Powered_ An AI Action Plan for Pineapple Contractors (2).md","File","0"
"Mobile_Bar_Business_Plan.pdf","File","0"
"Your_Business,_Super-Powered_An_AI_Action_Plan_for_Pineapple_Contractors.pdf","File","0"
"MISCELLANEOUS-BUILDING-PERMIT.pdf","File","0"
"MUUS20252246444-Pineapple Roofing LLC-Invoice.pdf","File","0"
"Your_Guide_to_Social_Media_&_AI_Agent_Integration.pdf","File","0"
"NAA_SIONE_BRAND_VOICE.md","File","0"
"XactwareClickOnceHelper.exe","File","0"
"Miscellaneous Permit Application (PDF).pdf","File","0"
"Muthukumaran Vembuli.jpeg","File","0"
"Muthukumaran Vembuli photo.pdf","File","0"
"Muthukumaran Vembuli photo.jpg","File","0"
"Your_Guide_to_Social_Media_&_AI_Agent_Integration.docx","File","0"
"Your_Business,_Super-Powered_by_Google_An_AI_Action_Plan_for_Pineapple_Contractors.pdf","File","0"
"Muthukumaran Vembuli.pdf","File","0"
"W9.pdf","File","0"
"McClendon Chisolm Residential-Building-Permit-App and Checklist","File","0"
"Oak Point Permit App.pdf","File","0"
"McGee Invoice 43251.pdf","File","0"
"Material_Order_Authorization_Agreement.docx","File","0"
"ZWE0MzIyNTUuanBn.jpg","File","0"
"McCasland Tree Removal Revised.pdf","File","0"
"McKinney COS.pdf","File","0"
"Unknown.pdf","File","0"
"NTX Gutters Spring 2025 Contractor Pricing.pdf","File","0"
"Tutorial 35 - GPT-5 AI Agent Army.json","File","0"
"McKinney COS (1).pdf","File","0"
"UDAYA ID PHOTO.jpg","File","0"
"ts-15_roofingcoil_nails_deg_tds_eng.pdf","File","0"
"Tree Removal WebSummission (1).pdf","File","0"
"Tree Removal WebSummission.pdf","File","0"
"trigger-ref.md","File","0"
"ORDER CONFIRMATON - WALMART 4 COOLERS.pdf","File","0"
"OPTION_B_CHECKLIST.md","File","0"
"Tree Removal Stancliff.pdf","File","0"
"Trophy Club Permit - 2022 churchill downs lane reithmier.pdf","File","0"
"Material Ordering to Avoid Back Charges.pdf","File","0"
"Material Supplier - FAQ.pdf","File","0"
"Master_Project_Context_Pineapple_Roofing_&_AI_Task_List.docx","File","0"
"Material Order Authorization Agreement.docx","File","0"
"Oak Point Permit App.png","File","0"
"VAN ASTEN PERMIT RECEIPT CITY OF LEWISVILL CASTLE HILLS.pdf","File","0"
"new doc 2025-03-05 16.00.39.pdf","File","0"
"Versico_Logo.png","File","0"
"Update for contact.pdf","File","0"
"Updated George Peet permit app.pdf","File","0"
"MDASugarLand-OutreachInvitation-Aug-Sept2025.pdf","File","0"
"zips-upload-these.zip","File","0"
"Meta Instant form leads.csv","File","0"
"MICAReviewReport_27598982.pdf","File","0"
"VIJAY 4386 HARTEBEEST FINAL INVOICE (1).pdf","File","0"
"NEW Contractor Registration The Colony_202601201320343115-1.pdf","File","0"
"NEW Contractor Registration The Colony_202601201320343115-1 (1).pdf","File","0"
"Update for contact (2).pdf","File","0"
"NICOLE_TAYLOR44_FINAL_DRAFT.pdf","File","0"
"unnamed.png","File","0"
"Next Steps & Claim Status.pdf","File","0"
"NotebookLM Mind Map.png","File","0"
"unnamed (1).png","File","0"
"NICOLE_TAYLOR44_FINAL_DRAFT_SUPPLEMENT- 4-9.pdf","File","0"
"mcp.json","File","0"
"Update for contact (2) (2).docx","File","0"
"Update for contact (2).docx","File","0"
"Untitled-report-Feb-9-2023-to-Mar-9-2026 (1).csv","File","0"
"new_ad_concepts.md.docx","File","0"
"Update for contact (1).pdf","File","0"
"Pineapple_Roofing_Capability_Statement.pdf","File","0"
"PineApple_Logo_Yellow.png","File","0"
"Revised Estimate for Approval","File","0"
"Revised Estimate 0797659588 AMIT BHAKTA.pdf","File","0"
"Pineapple_Scorpion_LP_Build_Brief (2) (1).docx","File","0"
"Pineapple_Scorpion_LP_Build_Brief (1).docx","File","0"
"Pineapple_Roofing_Meta_Ads_Report MANUS.pdf","File","0"
"pineapple_landing_page_1.html","File","0"
"pineapple_landing_page.html","File","0"
"Pineapple_Invoices_(1).xlsx","File","0"
"pineapple_landing_system_blueprint.md","File","0"
"pineapple_leads.csv","File","0"
"Rewritten Meta Ad Drafts for 65+ Frisco Demographic.txt","File","0"
"RE_ RARC for Approval.eml","File","0"
"Pineapple_Scorpion_LP_Build_Brief (2).docx","File","0"
"pineapple_video_asset_vsl_launcher.html","File","0"
"pineapple_video_asset_vsl_launcher (1).html","File","0"
"Pineapple_Video_Ad_Analysis.docx","File","0"
"Pineapple_Video_Scripts_Report.docx","File","0"
"Refined Meta Ad Copy for Pineapple Roofing.md","File","0"
"Refined_Meta_Ad_Copy_for_Pineapple_Roofing.pdf","File","0"
"Refund Request Form  - Credit Card Only.pdf","File","0"
"RESIDENTIAL_CERTIFIED_CERTIFICATE.pdf","File","0"
"RESIDENTIAL_CERTIFIED_REFERENCE_LETTER.pdf","File","0"
"Pineapple_Scorpion_LP_Build_Brief.docx","File","0"
"Residential-Building-Permit-Application-Checklist eastland.pdf","File","0"
"Registration Form City of Tyler (etrakit portal access).pdf","File","0"
"Repair Estimate.pdf","File","0"
"Repairability Guidelines Liberty Mutual Eff 10-1-2024.pdf","File","0"
"PINEAPPLE_BRAND_AND_VOICE_NAA_SIONE_2026-08-14.md","File","0"
"Pineapple_Andromeda_Marketing_Playbook.docx","File","0"
"Pineapple_Andromeda_Marketing_Playbook (1).docx","File","0"
"Pineapple_Campaign_Launch_Guide.html","File","0"
"Roofing Permit (2).pdf","File","0"
"pineapple_capability_statement.md.pdf","File","0"
"Roofing Permit Application Fillable (1).pdf","File","0"
"Pineapple_Ad_PreDrafts.md","File","0"
"Roofing Permit Application Fillable.pdf","File","0"
"Pineapple_Ad_PreDrafts mANUS.pdf","File","0"
"Pineapple_Ad_PreDrafts.md MANUS.pdf","File","0"
"Pineapple_Andromeda_Launch_Guide.docx","File","0"
"Pineapple_Andromeda_Launch_Guide (1).docx","File","0"
"Pineapple_Ad_PreDrafts.md.pdf","File","0"
"Roofing Permit (1).pdf","File","0"
"Pineapple_FB_Ads_Playbook (1).docx","File","0"
"RICHARD ROOTH PERMIT RECEIPT LEWISVILLE CASTLE HILLS.pdf","File","0"
"Pineapple_FB_Ads_Analysis.docx","File","0"
"Pineapple_FB_Ads_Playbook (2).docx","File","0"
"pineapple_full_platform_guide.html","File","0"
"Pineapple_FB_Ads_StepByStep (1).html","File","0"
"Pineapple_FB_Ads_Playbook.docx","File","0"
"Pineapple_Contractors_1-3-12_Meta_Ads_Campaign_(Frisco,_TX).pdf","File","0"
"Pineapple_Contractors_1-3-12_Meta_Ads_Campaign_(Frisco,_TX).docx","File","0"
"Roof Slope Assessment Tool - 2.03 Eff 10-1-2024.xlsx","File","0"
"Pineapple_Contract_Agreement.pdf","File","0"
"pineapple_facebook_ads_guide.html","File","0"
"ROCKWALL GEN CONTRACTER REG FEE RECEIPT 2024.pdf","File","0"
"Roof Slope Assessment Tool - 2.03 Eff 10-1-2024 (1).xlsx","File","0"
"PR 1.jpg","File","0"
"Post Inspection Conversation.pdf","File","0"
"Post Inspection Conversation (1).pdf","File","0"
"RARC App Castle Hills Lewisville - Joe Van Asten (1).pdf","File","0"
"RARC App - Richard Rooth 2.pdf","File","0"
"Presley COS - signed.pdf","File","0"
"PR-CAMPAIGN-AND-SALES-Jan-1-2026-to-Apr-8-2026.csv","File","0"
"PM7_WINDOWS_ONE_CLICK_AUDIT_PACKAGE_2026-08-15.zip","File","0"
"PM7_WINDOWS_CHATGPT_CODEX_AND_AGENT_OS_IMPLEMENTATION_SOP_2026-08-15.md","File","0"
"RARC App Joe Van Asten (3).pdf","File","0"
"POI.pdf","File","0"
"RARC App Castle Hills Lewisville - Joe Van Asten.pdf","File","0"
"RARC App CastleHills Lewisville - Richard Rooth - Pineappple Contracors.pdf","File","0"
"Positive Review Responder — AI Prompts.md","File","0"
"Presley COS signed - signed.pdf","File","0"
"Quote # PINEAPPLE RFG 1-9-24.PDF","File","0"
